Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
Long-sleeved midi dress with a belt and structured blazer, Orange Satin Slip, Chanteuse, Tall, Athletic, Triangular Face, Fair Skin, Golden Blonde Hair, Amber Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Boho Braid, saggy breasts, Dangle earrings, violet cream lipstick, (peek-a-boo):1.7, (bra outline):1.1
Bodycon dresses, Turquoise Sheer Chemise with Cutouts, Vixen, Short, in shape, Heart-Shaped Face, Olive Skin, Brunette Hair, dark brown Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Smooth Waves, firm breasts, Cuff earrings, lavender metallic lipstick, (peek-a-boo):1.5, (bra outline):0.7
Wide-legged dress pants with a colorful blouse, Gold Mesh Bra and Panty Set with Garter Belt, Duchess, Short, Wide Hips, Square Face, Olive Skin, Golden Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Braided Half Up, asymmetrical breasts, Huggie earrings, rust stain lipstick, (peek-a-boo):1.1, (bra outline):0.8
Wrap dresses, Yellow Lace Halter Bralette and Thong Set, Empress, Average Height, Athletic, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Double Braided Crown, asymmetrical breasts, Faux gauge earrings, red gloss lipstick, (peek-a-boo):1.3, (bra outline):1.2
Flared pants with a matching blazer and pointy-toe flats, Red Lace Bra and Panty Set with Garter Belt, Gal, Short, Toned, Square Face, Dark Skin, Blonde Hair, Amber Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fauxhawk, asymmetrical breasts, Cuff earrings, red matte lipstick, (peek-a-boo):1.1, (bra outline):1.0
Printed pants with a tucked-in blouse and cropped blazer, Yellow Lace Garter Belt , Superwoman, Tall, in shape, Diamond-Shaped Face, Olive Skin, Light Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Layered Bob, small breasts, Cuff earrings, mauve satin lipstick, (peek-a-boo):1.7, (bra outline):0.9
Printed pants with a tucked-in blouse and cropped blazer, White Satin and Lace Bra and Panty Set, Visionary, Short, Wide Hips, Round Face, Fair Skin, Strawberry Blonde Hair, peach Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Sock Bun, firm breasts, Hoop earrings, green velvet lipstick, (peek-a-boo):1.2, (bra outline):1.0
Spaghetti strap dresses, Gold Strappy Bodysuit, Heiress, Tall, Lean, Triangular Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Bun, asymmetrical breasts, Drop earrings, plum matte lipstick, (peek-a-boo):1.5, (bra outline):1.1
Sophisticated jumpsuit with a jacket, Teal Velvet Chemise with Ruffles , Sensation, Tall, Firm, Diamond-Shaped Face, Tan Skin, Black Hair, Hazel Eyes with Green Flecks, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, High Chignon, asymmetrical breasts, Dangle earrings, teal matte lipstick, (peek-a-boo):1.1, (bra outline):1.0
Cropped ankle pants with a tailored jacket and blouse, Green Satin and Lace Garter Belt with Matching Thong, Queen, Tall, Lean, Triangular Face, Fair Skin, Silver Hair, ice blue Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Four-Strand Braid, saggy breasts, Huggie earrings, berry gloss lipstick, (peek-a-boo):1.8, (bra outline):0.9
Tweed blazer with matching skirt, Tan Faux Leather Slip Dress, Goddess, Short, Toned, Triangular Face, Fair Skin, Silver Hair, Sapphire Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, soft breasts, Threader earrings, magenta stain lipstick, (peek-a-boo):1.5, (bra outline):0.8
Midi dresses, Grey Faux Leather Corset , Diva, Tall, Lean, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Straight Hair, perky breasts, Faux gauge earrings, coral cream lipstick, (peek-a-boo):1.5, (bra outline):0.9
Midi dresses, Green Sequin Slip Dress with Thigh-High Slits, Madame, Short, Wide Hips, Oval Face, Fair Skin, Chestnut Hair, ruby Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Donut Bun, small breasts, Threader earrings, orange velvet lipstick, (peek-a-boo):1.7, (bra outline):0.7
Classic black blazer with matching pants, Purple Velvet Slip with Lace Trim, Sensation, Tall, Narrow Hips, Triangular Face, Dark Skin, Brunette Hair, light blue Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Coarse Hair, Rope Braid, firm breasts, Dangle earrings, lavender sheer lipstick, (peek-a-boo):1.2, (bra outline):1.2
Strapless dresses, Charcoal Sheer Bra and Panty Set, Heiress, Average Height, Skinny, Oval Face, Fair Skin, Red Hair, grey Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, large breasts, Hoop earrings, violet velvet lipstick, (peek-a-boo):1.1, (bra outline):1.0
High-waisted pants with a tucked-in blouse and statement necklace, Purple Velvet Robe with Fur Trim , Starlet, Average Height, Fit, Oval Face, Fair Skin, Blonde Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Sock Bun, round breasts, Clip-on earrings, black metallic lipstick, (peek-a-boo):1.1, (bra outline):0.9
Wrap dresses, Olive Green Mesh Garter Belt with Stockings, Baroness, Tall, in shape, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, ruby Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Braided Headband, asymmetrical breasts, Stud earrings, red gloss lipstick, (peek-a-boo):1.9, (bra outline):0.9
Long-sleeve dresses, Pink Floral Corset, Countess, Short, Thin, Square Face, Tan Skin, Golden Blonde Hair, aquamarine Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Half Up Half Down, full breasts, Clip-on earrings, magenta satin lipstick, (peek-a-boo):1.9, (bra outline):0.9
Off-the-shoulder dresses, Red Satin Kimono with Lace Sleeve Detail, Baroness, Short, Skinny, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, gold Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, High Chignon, perky breasts, Threader earrings, lavender sheer lipstick, (peek-a-boo):1.5, (bra outline):1.1
Flared pants with a matching blazer and pointy-toe flats, Tan Faux Leather Slip Dress, Queen, Tall, Firm, Square Face, Tan Skin, Light Brown Hair, green Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Stacked Bob, round breasts, Dangle earrings, mauve satin lipstick, (peek-a-boo):1.3, (bra outline):1.2
Tweed blazer with matching skirt, Grey Faux Leather Corset , Enchantress, Short, Toned, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, yellow Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, French Braid, soft breasts, Faux gauge earrings, fuchsia velvet lipstick, (peek-a-boo):2.0, (bra outline):1.0
Tailored dress with cardigan, Pink Floral Corset, Artist, Tall, Fit, Diamond-Shaped Face, Dark Skin, Silver Hair, Amber Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Low Updo, round breasts, Stud earrings, plum gloss lipstick, (peek-a-boo):1.2, (bra outline):0.9
Sleeveless dresses, White Satin and Lace Bra and Panty Set, Duchess, Average Height, Athletic, Triangular Face, Tan Skin, Blonde Hair, light blue Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Chignon, soft breasts, Faux gauge earrings, green matte lipstick, (peek-a-boo):1.1, (bra outline):0.8
Knee-length skirt suit in a neutral color, Orange Satin Slip, Enigma, Short, in shape, Diamond-Shaped Face, Olive Skin, Brunette Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Long Curled Updo, soft breasts, Cuff earrings, hot pink velvet lipstick, (peek-a-boo):1.8, (bra outline):1.2
Sundresses, Navy Blue Satin Garter Belt with Suspenders , Female Warrior, Short, Toned, Square Face, Olive Skin, Golden Blonde Hair, Hazel Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Half Up Half Down, round breasts, Cuff earrings, violet metallic lipstick, (peek-a-boo):1.9, (bra outline):0.7
Spaghetti strap dresses, Pink Floral Corset, Femme fatale, Short, Skinny, Triangular Face, Dark Skin, Black Hair, grey-blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Fancy Updo, natural breasts, Huggie earrings, red cream lipstick, (peek-a-boo):1.3, (bra outline):1.0
Sheath dress with a collarless blazer and statement earrings, Cream Sequin Bra and Pant Set, Sensation, Average Height, Skinny, Round Face, Fair Skin, Platinum Blonde Hair, Green Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Stacked Bob, large breasts, Clip-on earrings, light pink satin lipstick, (peek-a-boo):1.5, (bra outline):1.1
Sleeveless jumpsuit with a longline vest and platform sandals, Red Mesh Chemise with Strappy Back Detail, Visionary, Short, Slim, Triangular Face, Dark Skin, Gray Hair, Sapphire Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Wavy Hair, Lace Braid, small breasts, Hoop earrings, mauve metallic lipstick, (peek-a-boo):1.1, (bra outline):1.1
Off-the-shoulder dresses, Orange Satin Slip, Lady, Tall, Narrow Hips, Round Face, Fair Skin, Gray Hair, grey-blue Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Double Braided Crown, firm breasts, Threader earrings, soft pink gloss lipstick, (peek-a-boo):1.4, (bra outline):1.1
Off-the-shoulder dresses, Maroon Satin and Lace Corset , Queen, Short, Skinny, Round Face, Tan Skin, Gray Hair, Gray Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, High Bun, large breasts, Dangle earrings, pink cream lipstick, (peek-a-boo):1.3, (bra outline):0.8
Tweed blazer with matching skirt, Plum Satin and Lace Bustier , Belle, Average Height, Skinny, Oval Face, Fair Skin, Gray Hair, light blue Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Bouncy Curls, saggy breasts, Huggie earrings, lavender matte lipstick, (peek-a-boo):1.3, (bra outline):1.0
Cropped ankle pants with a tailored jacket and blouse, Crimson Velvet Cami and Short Set , Enchantress, Short, Slim, Oval Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Bangs with Highlights, large breasts, Stud earrings, cherry gloss lipstick, (peek-a-boo):1.5, (bra outline):1.2
Off-the-shoulder dresses, Lavender Lace Bra and Panty Set , Countess, Tall, Wide Hips, Heart-Shaped Face, Olive Skin, Silver Hair, ice blue Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Layered Bob, round breasts, Hoop earrings, coral stain lipstick, (peek-a-boo):1.3, (bra outline):0.7
Shift dress with a blazer, White Sheer Teddy with Lace Trim, Enchantress, Short, Fit, Round Face, Fair Skin, Gray Hair, turquoise Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Messy Bun, full breasts, Stud earrings, beige stain lipstick, (peek-a-boo):2.0, (bra outline):1.3
Classic black blazer with matching pants, Black Sheer Teddy with Floral Applique, Phenom, Tall, Wide Hips, Triangular Face, Dark Skin, Auburn Hair, Brown Eyes with Green Flecks, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, saggy breasts, Threader earrings, soft pink satin lipstick, (peek-a-boo):1.1, (bra outline):1.0
Spaghetti strap dresses, Purple Mesh Babydoll with Matching G-String, Femme fatale, Short, Firm, Square Face, Fair Skin, Strawberry Blonde Hair, Amber Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, High Messy Bun, soft breasts, Dangle earrings, violet velvet lipstick, (peek-a-boo):1.6, (bra outline):1.1
Fit-and-flare dresses, Turquoise Sheer Chemise with Cutouts, Empress, Short, Skinny, Diamond-Shaped Face, Olive Skin, Blonde Hair, light blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Messy Bun, firm breasts, Faux gauge earrings, grape metallic lipstick, (peek-a-boo):1.0, (bra outline):1.0
Sleeveless jumpsuit with a longline vest and platform sandals, Green Satin and Lace Garter Belt with Matching Thong, Escort, Average Height, Toned, Round Face, Dark Skin, Chestnut Hair, grey Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Straight Updo, saggy breasts, Drop earrings, soft pink metallic lipstick, (peek-a-boo):1.1, (bra outline):1.1
Sleeveless dresses, Turquoise Sheer Chemise with Cutouts, Enigma, Tall, Firm, Heart-Shaped Face, Olive Skin, Auburn Hair, Sapphire Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob, asymmetrical breasts, Dangle earrings, rust metallic lipstick, (peek-a-boo):1.6, (bra outline):1.1
Midi dresses, Turquoise Sheer Chemise with Cutouts, Sensation, Average Height, in shape, Round Face, Fair Skin, Honey Blonde Hair, gold Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Lace Braid, augmented breasts, Drop earrings, cherry metallic lipstick, (peek-a-boo):1.6, (bra outline):1.2
Off-the-shoulder dresses, Purple Mesh Babydoll with Matching G-String, Songstress, Short, Skinny, Oval Face, Tan Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, augmented breasts, Clip-on earrings, orange gloss lipstick, (peek-a-boo):1.7, (bra outline):1.3
Floral blouse with a fitted pencil skirt and ankle boots, Turquoise Sheer Chemise with Cutouts, Gal, Average Height, in shape, Heart-Shaped Face, Dark Skin, Silver Hair, Amber Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, High Chignon, saggy breasts, Drop earrings, grape stain lipstick, (peek-a-boo):1.8, (bra outline):0.9
Button-front midi skirt with a ribbed knit top and kitten heels, Turquoise Sheer Chemise with Cutouts, Madam, Short, Slim, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, black Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, High Bun, soft breasts, Hoop earrings, green satin lipstick, (peek-a-boo):1.3, (bra outline):1.3
Shift dresses, Black Sheer Teddy with Floral Applique, Queen, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, Silver Hair, purple Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Messy Top Knot, firm breasts, Drop earrings, teal satin lipstick, (peek-a-boo):1.7, (bra outline):1.1
Long-sleeve dresses, Gold Strappy Bodysuit, Female Warrior, Short, Wide Hips, Oval Face, Dark Skin, Light Brown Hair, brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Curly Hair, Braided Headband, full breasts, Cuff earrings, rust velvet lipstick, (peek-a-boo):1.5, (bra outline):1.1
High-waisted pants with a tucked-in blouse and statement necklace, Green Satin and Lace Garter Belt with Matching Thong, Female Warrior, Short, Fit, Triangular Face, Tan Skin, Black Hair, green Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Low Chignon, full breasts, Stud earrings, golden metallic lipstick, (peek-a-boo):1.8, (bra outline):0.7
Sheath dress with a collarless blazer and statement earrings, Cream Sequin Bra and Pant Set, Dame, Average Height, Thin, Round Face, Fair Skin, Black Hair, purple Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Middle Part Bangs, perky breasts, Clip-on earrings, brown stain lipstick, (peek-a-boo):1.0, (bra outline):1.3
Sleeveless dresses, Teal Velvet Chemise with Ruffles , Female Viking, Tall, Slim, Heart-Shaped Face, Tan Skin, White Hair, aquamarine Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Braided Crown, soft breasts, Cuff earrings, golden matte lipstick, (peek-a-boo):1.7, (bra outline):1.1
Sleeveless dresses, Red Satin Kimono with Lace Sleeve Detail, Charmer, Tall, in shape, Oval Face, Dark Skin, Gray Hair, teal Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, High Bun, natural breasts, Cuff earrings, grape gloss lipstick, (peek-a-boo):1.2, (bra outline):1.2
Tweed blazer with matching skirt, Fuchsia Mesh Halter Bra and Panty Set, Vixen, Average Height, Lean, Heart-Shaped Face, Fair Skin, Silver Hair, jade Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Waterfall Braid, full breasts, Clip-on earrings, berry stain lipstick, (peek-a-boo):1.4, (bra outline):1.1
Crisp white button-up shirt with black dress pants, Blue Sheer Babydoll with Satin Trim, Charmer, Tall, Slim, Triangular Face, Fair Skin, Honey Blonde Hair, Blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Messy Beach Waves, asymmetrical breasts, Threader earrings, hot pink matte lipstick, (peek-a-boo):1.6, (bra outline):1.2
Sleeveless jumpsuit with a longline vest and platform sandals, Purple Velvet Robe with Fur Trim , Artist, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Light Brown Hair, brown Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Formal Updo, saggy breasts, Drop earrings, fuchsia cream lipstick, (peek-a-boo):1.5, (bra outline):1.2
Long-sleeved midi dress with a belt and structured blazer, Brown Strappy Bodysuit, Belle, Tall, Fit, Round Face, Olive Skin, Blonde Hair, grey-blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Fluffy Afro, perky breasts, Stud earrings, cherry gloss lipstick, (peek-a-boo):1.7, (bra outline):1.1
Short dresses, Purple Mesh Babydoll with Matching G-String, Female Viking, Average Height, Thin, Round Face, Olive Skin, Gray Hair, Sapphire Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, large breasts, Threader earrings, plum cream lipstick, (peek-a-boo):1.2, (bra outline):1.2
Maxi dresses, Maroon Satin and Lace Corset , Dame, Average Height, Toned, Round Face, Dark Skin, Red Hair, turquoise Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Sock Bun, natural breasts, Huggie earrings, rust gloss lipstick, (peek-a-boo):1.2, (bra outline):1.3
Printed pants with a tucked-in blouse and cropped blazer, Black Sheer Teddy with Floral Applique, Madam, Tall, Thin, Round Face, Dark Skin, Auburn Hair, ruby Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Straight Updo, asymmetrical breasts, Hoop earrings, teal matte lipstick, (peek-a-boo):1.6, (bra outline):0.7
Silk wrap dress with a fitted blazer, Black Sheer Teddy with Floral Applique, Enigma, Tall, Toned, Round Face, Dark Skin, Blonde Hair, Brown Eyes with Green Flecks, Long Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Updo, asymmetrical breasts, Huggie earrings, coral sheer lipstick, (peek-a-boo):2.0, (bra outline):1.0
Sheath dress with a collarless blazer and statement earrings, Blue Satin and Lace Cami and Short Set, Starlet, Average Height, Slim, Square Face, Fair Skin, Chestnut Hair, red Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Blunt Cut Bangs, large breasts, Huggie earrings, lavender velvet lipstick, (peek-a-boo):1.7, (bra outline):1.1
